parameter,value,net_impact,ai_total,human_total,delta_from_baseline,is_baseline
prompts_per_task,1.0,-4.260621508529834,2.5427793519634703,22.678002868311015,-7.628338055890411,False
prompts_per_task,4.0,3.367716547360577,10.171117407853881,22.678002868311015,0.0,True
prompts_per_task,15.0,31.338289418958745,38.14169027945205,22.678002868311015,27.97057287159817,False
gpu_utilization,0.4,-0.25702457263942247,6.546376287853882,22.678002868311015,-3.6247411199999995,False
gpu_utilization,0.7,3.367716547360577,10.171117407853881,22.678002868311015,0.0,True
gpu_utilization,0.85,5.180087107360577,11.98348796785388,22.678002868311015,1.8123705599999997,False
queries_per_month,100000000.0,23.70995136306834,30.513352223561643,22.678002868311015,20.342234815707762,False
queries_per_month,300000000.0,3.367716547360577,10.171117407853881,22.678002868311015,0.0,True
queries_per_month,3000000000.0,-5.7862891197079165,1.017111740785388,22.678002868311015,-9.154005667068493,False
training_days,2.0,3.0424420268126307,9.845842887305935,22.678002868311015,-0.32527452054794637,False
training_days,3.5,3.367716547360577,10.171117407853881,22.678002868311015,0.0,True
training_days,14.0,5.644638191196193,12.448039051689497,22.678002868311015,2.2769216438356157,False
carbon_intensity_elec,28.0,-3.448987049551752,3.066624812653881,21.71870620735211,-6.816703596912329,False
carbon_intensity_elec,175.0,3.367716547360577,10.171117407853881,22.678002868311015,0.0,True
carbon_intensity_elec,703.0,27.852202936270167,35.68929489265388,26.123639854612385,24.48448638890959,False
gpu_lifespan_years,1.0,4.224410611287518,11.027811471780822,22.678002868311015,0.8566940639269411,False
gpu_lifespan_years,1.5,3.367716547360577,10.171117407853881,22.678002868311015,0.0,True
gpu_lifespan_years,2.0,2.9393695153971064,9.74277037589041,22.678002868311015,-0.42834703196347057,False
pue,1.08,2.8528982433605785,9.656299103853883,22.678002868311015,-0.5148183039999985,False
pue,1.15,3.367716547360577,10.171117407853881,22.678002868311015,0.0,True
pue,1.25,4.103171267360579,10.906572127853883,22.678002868311015,0.7354547200000017,False
efficiency_gain,0.8,-7.971284886794933,10.171117407853881,22.678002868311015,-11.33900143415551,False
efficiency_gain,0.3,3.367716547360577,10.171117407853881,22.678002868311015,0.0,True
efficiency_gain,0.0,10.171117407853881,10.171117407853881,22.678002868311015,6.803400860493304,False
